cole_dept;punt_mate
5;44
5;36
5;37
5;41
5;70
5;73
5;30
5;38
5;37
5;54
5;42
5;27
5;41
5;38
5;41
5;30
5;36
5;55
5;47
5;28
5;71
5;53
5;51
5;44
5;38
5;40
5;31
5;34
5;25
5;39
5;21
5;39
5;32
5;29
5;63
5;31
5;66
5;15
5;30
5;35
5;42
5;24
5;34
5;26
5;34
5;34
5;26
5;40
5;30
5;48
5;43
5;43
5;54
5;36
5;30
5;38
5;51
5;67
5;28
5;57
5;56
5;32
5;48
5;71
5;31
5;40
5;54
5;40
5;19
5;34
5;28
5;71
5;59
5;37
5;33
5;41
5;32
5;32
5;26
5;42
5;48
5;52
5;57
5;49
5;34
5;39
5;34
5;28
5;54
5;46
5;57
5;48
5;42
5;31
5;55
5;40
5;39
5;42
5;39
5;30
5;41
5;72
5;38
5;37
5;31
5;27
5;45
5;35
5;37
5;46
5;25
5;35
5;30
5;37
5;47
5;60
5;52
5;48
5;33
5;26
5;35
5;51
5;27
5;35
5;28
5;59
5;57
5;65
5;44
5;36
5;41
5;39
5;34
5;36
5;60
5;40
5;46
5;66
5;49
5;42
5;73
5;62
5;54
5;35
5;100
5;60
5;36
5;36
5;34
5;61
5;43
5;54
5;37
5;39
5;30
5;32
5;31
5;72
5;39
5;43
5;35
5;46
5;54
5;44
5;30
5;51
5;63
5;52
5;64
5;42
5;47
5;30
5;56
5;56
5;72
5;46
5;30
5;34
5;60
5;59
5;59
5;30
5;52
5;42
5;25
5;59
5;57
5;54
5;35
5;46
5;84
5;40
5;54
5;33
5;34
5;30
5;43
5;66
5;64
5;33
5;43
5;65
5;45
5;21
5;42
5;56
5;46
5;64
5;31
5;60
5;41
5;36
5;52
5;35
5;53
5;37
5;53
5;71
5;77
5;44
5;57
5;64
5;32
5;51
5;55
5;33
5;49
5;42
5;29
5;47
5;62
5;32
5;73
5;55
5;41
5;59
5;37
5;41
5;35
5;68
5;63
5;64
5;56
5;73
5;59
5;75
5;46
5;41
5;48
5;59
5;58
5;71
5;52
5;69
5;64
5;64
5;65
5;26
5;63
5;66
5;64
5;41
5;34
5;43
5;59
5;59
5;76
5;73
5;75
5;75
5;42
5;42
5;65
5;33
5;67
5;41
5;74
5;62
5;65
5;68
5;42
5;70
5;66
5;39
5;65
5;69
5;65
5;68
5;78
5;59
5;59
5;60
5;64
5;64
5;72
5;61
5;48
5;55
5;66
5;62
5;72
5;67
5;65
5;68
5;52
5;63
5;50
5;62
5;27
5;59
5;67
5;70
5;65
5;32
5;70
5;66
5;63
5;71
5;63
5;77
5;64
5;69
5;55
5;57
5;72
5;49
5;59
5;54
5;56
5;75
5;49
5;62
5;71
5;65
5;67
5;55
5;48
5;59
5;57
5;67
5;54
5;59
5;76
5;59
5;67
5;67
5;54
5;55
5;41
5;63
5;59
5;48
5;73
5;69
5;51
5;64
5;80
5;59
5;74
5;60
5;59
5;58
5;64
5;75
5;60
5;45
5;79
5;43
5;61
5;60
5;64
5;67
5;61
5;51
5;79
5;68
5;65
5;73
5;80
5;65
5;66
5;65
5;67
5;63
5;67
5;69
5;64
5;72
5;52
5;64
5;58
5;71
5;69
5;61
5;70
5;66
5;66
5;65
5;37
5;45
5;47
5;68
5;75
5;100
5;55
5;75
5;77
5;64
5;39
5;62
5;51
5;78
5;54
5;43
5;69
5;33
5;72
5;74
5;75
5;68
5;77
5;63
5;81
5;68
5;53
5;75
5;49
5;42
5;55
5;59
5;66
5;68
5;62
5;72
5;70
5;76
5;71
5;68
5;65
5;66
5;73
5;73
5;60
5;76
5;79
5;76
5;54
5;50
5;54
5;62
5;64
5;58
5;65
5;76
5;64
5;73
5;55
5;59
5;49
5;39
5;41
5;54
5;72
5;63
5;52
5;72
5;54
5;37
5;39
5;67
5;57
5;43
5;50
5;71
5;66
5;70
5;68
5;64
5;52
5;58
5;68
5;71
5;72
5;67
5;56
5;69
5;68
5;73
5;75
5;55
5;48
5;71
5;45
5;62
5;49
5;36
5;57
5;78
5;78
5;70
5;57
5;25
5;59
5;34
5;55
5;68
5;46
5;48
5;71
5;71
5;79
5;68
5;32
5;56
5;46
5;73
5;70
5;20
5;29
5;28
5;67
5;24
5;67
5;58
5;20
5;68
5;56
5;63
5;69
5;69
5;77
5;78
5;77
5;34
5;78
5;67
5;78
5;67
5;72
5;66
5;56
5;62
5;72
5;48
5;56
5;67
5;57
5;69
5;74
5;58
5;69
5;67
5;51
5;73
5;75
5;66
5;74
5;59
5;52
5;49
5;43
5;73
5;63
5;69
5;49
5;100
5;67
5;72
5;68
5;72
5;69
5;70
5;68
5;70
5;68
5;73
5;76
5;77
5;83
5;55
5;35
5;74
5;73
5;50
5;72
5;65
5;81
5;77
5;65
5;67
5;66
5;77
5;64
5;52
5;63
5;20
5;61
5;79
5;75
5;52
