id_caso	codigo_dane_municipio	municipio	departamento	agno	mes	dia	id_persona	sexo	etnia	ocupacion	calidad_victima	tipo_poblacion	militante_politico	grupo_armado	descripcion_grupo_armado	situacion_victima	edad
235240	17614	RIOSUCIO	CALDAS	1997	12	03	81987	Hombre		Trabajo Sin Especificar	Civil	Familiar de Persona Vulnerable				Muerta	
251906	68615	RIONEGRO	SANTANDER	2001	06	10	119644	Mujer		Estudiante	Civil					Muerta	13 a 17
251906	68615	RIONEGRO	SANTANDER	2001	06	10	119645	Mujer		Campesino	Civil					Muerta	29 a 39
359623	20570	PUEBLO BELLO	CESAR	0000	00	00	401057	Mujer		Sin Informacion	Civil	Familiar de Persona Vulnerable				Desconocida	
359624	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401058	Mujer		Sin Informacion	Civil	Desmovilizado				Viva	
359625	54000	SIN INFORMACION	NORTE DE SANTANDER	0000	00	00	401059	Mujer		Sin Informacion	Civil	Desmovilizado				Viva	
359626	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401060	Mujer		Sin Informacion	Civil	Desmovilizado				Viva	
359627	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401061	Mujer		Trabajador(a) Sexual	Civil					Viva	18 a 28
359628	47268	EL RETEN	MAGDALENA	0000	00	00	401062	Mujer		Sin Informacion	Civil					Desconocida	
359629	86000	SIN INFORMACION	PUTUMAYO	0000	00	00	401063	Mujer		Sin Informacion	Civil					Desconocida	13 a 17
359630	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401064	Mujer		Guerrillero	Combatiente			Guerrilla	No Identificada	Desconocida	18 a 28
359631	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401065	Mujer		Guerrillero	Combatiente			Guerrilla	No Identificada	Viva	
359632	41000	SIN INFORMACION	HUILA	0000	00	00	401066	Mujer		Sin Informacion	Civil					Viva	
359633	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401067	Mujer		Guerrillero	Combatiente			Guerrilla	No Identificada	Viva	
359634	86568	PUERTO ASIS	PUTUMAYO	0000	00	00	401068	Mujer		Sin Informacion	Civil					Viva	
359635	54810	TIBU	NORTE DE SANTANDER	0000	00	00	401069	Mujer		Sin Informacion	Civil					Viva	13 a 17
359636	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401070	Mujer		Sin Informacion	Civil					Desconocida	
359637	00000	SIN INFORMACION	SIN INFORMACION	0000	00	00	401071	Mujer		Comerciante	Civil					Muerta	
359638	05045	APARTADO	ANTIOQUIA	0000	00	00	401072	Mujer		Sin Informacion	Civil					Viva	13 a 17
359639	05172	CHIGORODO	ANTIOQUIA	0000	00	00	401073	Mujer		Comerciante	Civil					Muerta	
